Date,Campaign,Campaign status,Campaign type,Ad group,Impressions,Clicks,Cost,Conversions,Conv. value,CTR,Avg. CPC,Interactions
2026-04-03,טראפיק מרכז מבקרים,ENABLED,SEARCH,יין/יקב טוליפ,429,77,108.90,12.31979,10.665403,17.95%,1.41,77
2026-04-03,טראפיק מרכז מבקרים,ENABLED,SEARCH,יקב בגליל,208,10,8.74,0,0,4.81%,0.87,10
2026-04-03,טראפיק מרכז מבקרים,ENABLED,SEARCH,יקב צפון,114,6,9.08,0,0,5.26%,1.51,6
2026-04-03,טראפיק מרכז מבקרים,ENABLED,SEARCH,סיור יקב,300,25,31.80,2.927271,2,8.33%,1.27,25
2026-04-03,טראפיק מרכז מבקרים,ENABLED,SEARCH,סיור יקבים,21,0,0.00,0,0,0.00%,0.00,0
2026-04-03,טראפיק מרכז מבקרים,ENABLED,SEARCH,סיורים יקב,95,7,8.37,0,0,7.37%,1.20,7
2026-04-03,מרכז מבקרים -פסח 2026,ENABLED,SEARCH,Ad group 1,224,24,101.45,2,2,10.71%,4.23,24
